tile_id,left,top,right,bottom
155,9907768.291100000962615,5300166.514699999243021,9908024.291100000962615,5299910.514699999243021
156,9907768.291100000962615,5299936.114699999801815,9908024.291100000962615,5299680.114699999801815
157,9907768.291100000962615,5299705.714700000360608,9908024.291100000962615,5299449.714700000360608
158,9907768.291100000962615,5299475.314699999988079,9908024.291100000962615,5299219.314699999988079
159,9907768.291100000962615,5299244.914699999615550,9908024.291100000962615,5298988.914699999615550
160,9907768.291100000962615,5299014.514699999243021,9908024.291100000962615,5298758.514699999243021
161,9907768.291100000962615,5298784.114699999801815,9908024.291100000962615,5298528.114699999801815
162,9907768.291100000962615,5298553.714700000360608,9908024.291100000962615,5298297.714700000360608
163,9907768.291100000962615,5298323.314699999988079,9908024.291100000962615,5298067.314699999988079
164,9907768.291100000962615,5298092.914699999615550,9908024.291100000962615,5297836.914699999615550
165,9907768.291100000962615,5297862.514699999243021,9908024.291100000962615,5297606.514699999243021
166,9907768.291100000962615,5297632.114699999801815,9908024.291100000962615,5297376.114699999801815
167,9907768.291100000962615,5297401.714700000360608,9908024.291100000962615,5297145.714700000360608
168,9907768.291100000962615,5297171.314699999988079,9908024.291100000962615,5296915.314699999988079
169,9907768.291100000962615,5296940.914699999615550,9908024.291100000962615,5296684.914699999615550
170,9907768.291100000962615,5296710.514699999243021,9908024.291100000962615,5296454.514699999243021
171,9907768.291100000962615,5296480.114699999801815,9908024.291100000962615,5296224.114699999801815
172,9907768.291100000962615,5296249.714700000360608,9908024.291100000962615,5295993.714700000360608
173,9907768.291100000962615,5296019.314699999988079,9908024.291100000962615,5295763.314699999988079
174,9907768.291100000962615,5295788.914699999615550,9908024.291100000962615,5295532.914699999615550
175,9907768.291100000962615,5295558.514699999243021,9908024.291100000962615,5295302.514699999243021
176,9907768.291100000962615,5295328.114699999801815,9908024.291100000962615,5295072.114699999801815
177,9907768.291100000962615,5295097.714700000360608,9908024.291100000962615,5294841.714700000360608
178,9907768.291100000962615,5294867.314699999988079,9908024.291100000962615,5294611.314699999988079
179,9907768.291100000962615,5294636.914699999615550,9908024.291100000962615,5294380.914699999615550
180,9907768.291100000962615,5294406.514699999243021,9908024.291100000962615,5294150.514699999243021
181,9907768.291100000962615,5294176.114699999801815,9908024.291100000962615,5293920.114699999801815
182,9907768.291100000962615,5293945.714700000360608,9908024.291100000962615,5293689.714700000360608
183,9907768.291100000962615,5293715.314699999988079,9908024.291100000962615,5293459.314699999988079
184,9907768.291100000962615,5293484.914699999615550,9908024.291100000962615,5293228.914699999615550
185,9907768.291100000962615,5293254.514699999243021,9908024.291100000962615,5292998.514699999243021
186,9907768.291100000962615,5293024.114699999801815,9908024.291100000962615,5292768.114699999801815
187,9907768.291100000962615,5292793.714700000360608,9908024.291100000962615,5292537.714700000360608
188,9907768.291100000962615,5292563.314699999988079,9908024.291100000962615,5292307.314699999988079
189,9907768.291100000962615,5292332.914699999615550,9908024.291100000962615,5292076.914699999615550
190,9907768.291100000962615,5292102.514699999243021,9908024.291100000962615,5291846.514699999243021
191,9907768.291100000962615,5291872.114699999801815,9908024.291100000962615,5291616.114699999801815
192,9907768.291100000962615,5291641.714700000360608,9908024.291100000962615,5291385.714700000360608
193,9907768.291100000962615,5291411.314699999988079,9908024.291100000962615,5291155.314699999988079
194,9907768.291100000962615,5291180.914699999615550,9908024.291100000962615,5290924.914699999615550
195,9907768.291100000962615,5290950.514699999243021,9908024.291100000962615,5290694.514699999243021
196,9907768.291100000962615,5290720.114699999801815,9908024.291100000962615,5290464.114699999801815
197,9907768.291100000962615,5290489.714700000360608,9908024.291100000962615,5290233.714700000360608
198,9907768.291100000962615,5290259.314699999988079,9908024.291100000962615,5290003.314699999988079
199,9907768.291100000962615,5290028.914699999615550,9908024.291100000962615,5289772.914699999615550
200,9907768.291100000962615,5289798.514699999243021,9908024.291100000962615,5289542.514699999243021
201,9907768.291100000962615,5289568.114699999801815,9908024.291100000962615,5289312.114699999801815
202,9907768.291100000962615,5289337.714700000360608,9908024.291100000962615,5289081.714700000360608
203,9907768.291100000962615,5289107.314699999988079,9908024.291100000962615,5288851.314699999988079
204,9907768.291100000962615,5288876.914699999615550,9908024.291100000962615,5288620.914699999615550
205,9907768.291100000962615,5288646.514699999243021,9908024.291100000962615,5288390.514699999243021
206,9907768.291100000962615,5288416.114699999801815,9908024.291100000962615,5288160.114699999801815
207,9907768.291100000962615,5288185.714700000360608,9908024.291100000962615,5287929.714700000360608
208,9907768.291100000962615,5287955.314699999988079,9908024.291100000962615,5287699.314699999988079
209,9907768.291100000962615,5287724.914699999615550,9908024.291100000962615,5287468.914699999615550
210,9907768.291100000962615,5287494.514699999243021,9908024.291100000962615,5287238.514699999243021
211,9907768.291100000962615,5287264.114699999801815,9908024.291100000962615,5287008.114699999801815
212,9907768.291100000962615,5287033.714700000360608,9908024.291100000962615,5286777.714700000360608
213,9907768.291100000962615,5286803.314699999988079,9908024.291100000962615,5286547.314699999988079
214,9907768.291100000962615,5286572.914699999615550,9908024.291100000962615,5286316.914699999615550
215,9907768.291100000962615,5286342.514699999243021,9908024.291100000962615,5286086.514699999243021
216,9907768.291100000962615,5286112.114699999801815,9908024.291100000962615,5285856.114699999801815
217,9907998.691100001335144,5310764.914699999615550,9908254.691100001335144,5310508.914699999615550
218,9907998.691100001335144,5310534.514699999243021,9908254.691100001335144,5310278.514699999243021
219,9907998.691100001335144,5310304.114699999801815,9908254.691100001335144,5310048.114699999801815
220,9907998.691100001335144,5310073.714700000360608,9908254.691100001335144,5309817.714700000360608
221,9907998.691100001335144,5309843.314699999988079,9908254.691100001335144,5309587.314699999988079
222,9907998.691100001335144,5309612.914699999615550,9908254.691100001335144,5309356.914699999615550
223,9907998.691100001335144,5309382.514699999243021,9908254.691100001335144,5309126.514699999243021
224,9907998.691100001335144,5309152.114699999801815,9908254.691100001335144,5308896.114699999801815
225,9907998.691100001335144,5308921.714700000360608,9908254.691100001335144,5308665.714700000360608
226,9907998.691100001335144,5308691.314699999988079,9908254.691100001335144,5308435.314699999988079
227,9907998.691100001335144,5308460.914699999615550,9908254.691100001335144,5308204.914699999615550
228,9907998.691100001335144,5308230.514699999243021,9908254.691100001335144,5307974.514699999243021
229,9907998.691100001335144,5308000.114699999801815,9908254.691100001335144,5307744.114699999801815
230,9907998.691100001335144,5307769.714700000360608,9908254.691100001335144,5307513.714700000360608
231,9907998.691100001335144,5307539.314699999988079,9908254.691100001335144,5307283.314699999988079
232,9907998.691100001335144,5307308.914699999615550,9908254.691100001335144,5307052.914699999615550
233,9907998.691100001335144,5307078.514699999243021,9908254.691100001335144,5306822.514699999243021
234,9907998.691100001335144,5306848.114699999801815,9908254.691100001335144,5306592.114699999801815
235,9907998.691100001335144,5306617.714700000360608,9908254.691100001335144,5306361.714700000360608
236,9907998.691100001335144,5306387.314699999988079,9908254.691100001335144,5306131.314699999988079
237,9907998.691100001335144,5306156.914699999615550,9908254.691100001335144,5305900.914699999615550
238,9907998.691100001335144,5305926.514699999243021,9908254.691100001335144,5305670.514699999243021
239,9907998.691100001335144,5305696.114699999801815,9908254.691100001335144,5305440.114699999801815
240,9907998.691100001335144,5305465.714700000360608,9908254.691100001335144,5305209.714700000360608
